======================================================
 量子ハンター (完全PyTorch統合版) Step: 0.01
 Device: cuda | Seed: 42
======================================================

Epoch    1 | Cost: 2.265023 | Acc: 23.00% (Best: 23.00% @ Ep1) | Rev: 0/10
Epoch   35 | Cost: 1.652983 | Acc: 34.67% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   36 | Cost: 1.658862 | Acc: 34.33% (Best: 36.67% @ Ep22) | Rev: 1/10
Epoch   37 | Cost: 1.656908 | Acc: 34.67% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   38 | Cost: 1.653032 | Acc: 34.67% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   39 | Cost: 1.654074 | Acc: 35.00% (Best: 36.67% @ Ep22) | Rev: 1/10
Epoch   40 | Cost: 1.647021 | Acc: 34.67% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   41 | Cost: 1.647182 | Acc: 34.33% (Best: 36.67% @ Ep22) | Rev: 1/10
Epoch   42 | Cost: 1.642739 | Acc: 34.67% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   43 | Cost: 1.649590 | Acc: 34.33% (Best: 36.67% @ Ep22) | Rev: 1/10
Epoch   44 | Cost: 1.639370 | Acc: 35.00% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   45 | Cost: 1.637082 | Acc: 34.33% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   46 | Cost: 1.633467 | Acc: 34.33% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   47 | Cost: 1.632844 | Acc: 34.33% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   48 | Cost: 1.624382 | Acc: 34.00% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   49 | Cost: 1.628477 | Acc: 34.67% (Best: 36.67% @ Ep22) | Rev: 1/10
Epoch   50 | Cost: 1.620226 | Acc: 34.67% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   51 | Cost: 1.615697 | Acc: 34.67% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   52 | Cost: 1.626338 | Acc: 34.00% (Best: 36.67% @ Ep22) | Rev: 1/10
Epoch   53 | Cost: 1.616220 | Acc: 35.33% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   54 | Cost: 1.612675 | Acc: 35.00% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   55 | Cost: 1.609534 | Acc: 34.00% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   56 | Cost: 1.619499 | Acc: 34.00% (Best: 36.67% @ Ep22) | Rev: 1/10
Epoch   57 | Cost: 1.609021 | Acc: 33.33% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   58 | Cost: 1.614406 | Acc: 33.67% (Best: 36.67% @ Ep22) | Rev: 1/10
Epoch   59 | Cost: 1.612661 | Acc: 33.00% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   60 | Cost: 1.611819 | Acc: 33.33% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   61 | Cost: 1.609861 | Acc: 32.67% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   62 | Cost: 1.602917 | Acc: 32.67% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   63 | Cost: 1.597613 | Acc: 33.33% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   64 | Cost: 1.602932 | Acc: 33.67% (Best: 36.67% @ Ep22) | Rev: 1/10
Epoch   65 | Cost: 1.594704 | Acc: 33.00% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   66 | Cost: 1.590859 | Acc: 33.00% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   67 | Cost: 1.595557 | Acc: 32.67% (Best: 36.67% @ Ep22) | Rev: 1/10
Epoch   68 | Cost: 1.595518 | Acc: 32.33% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   69 | Cost: 1.603102 | Acc: 32.33% (Best: 36.67% @ Ep22) | Rev: 1/10
Epoch   70 | Cost: 1.589189 | Acc: 32.67% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   71 | Cost: 1.592781 | Acc: 32.33% (Best: 36.67% @ Ep22) | Rev: 1/10
Epoch   72 | Cost: 1.589206 | Acc: 32.67% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   73 | Cost: 1.591549 | Acc: 32.67% (Best: 36.67% @ Ep22) | Rev: 1/10
Epoch   74 | Cost: 1.589510 | Acc: 33.00% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   75 | Cost: 1.589788 | Acc: 32.67% (Best: 36.67% @ Ep22) | Rev: 1/10
Epoch   76 | Cost: 1.587264 | Acc: 33.00% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   77 | Cost: 1.585009 | Acc: 33.00% (Best: 36.67% @ Ep22) | Rev: 0/10
