======================================================
 量子ハンター (永続キャッシュ・等差アクセル総力戦仕様) Step: 0.01
 Device: cuda | Seed: 42 | Base LR: 1e-05
======================================================

Epoch    1 | Cost: 2.280612 | Acc: 37.78% (Best: 37.78% @ Ep1) | LR: 0.000010 | Rev: 0/99999
Epoch   45 | Cost: 1.365127 | Acc: 61.39% (Best: 62.22% @ Ep38) | LR: 0.000010 | Rev: 0/99999
Epoch   46 | Cost: 1.356662 | Acc: 61.94% (Best: 62.22% @ Ep38) | LR: 0.000010 | Rev: 0/99999
Epoch   47 | Cost: 1.374401 | Acc: 62.78% (Best: 62.78% @ Ep47) | LR: 0.000010 | Rev: 1/99999
Epoch   48 | Cost: 1.355662 | Acc: 62.50% (Best: 62.78% @ Ep47) | LR: 0.000010 | Rev: 0/99999
Epoch   49 | Cost: 1.340932 | Acc: 62.78% (Best: 62.78% @ Ep47) | LR: 0.000010 | Rev: 0/99999
Epoch   50 | Cost: 1.323397 | Acc: 63.61% (Best: 63.61% @ Ep50) | LR: 0.000010 | Rev: 0/99999
Epoch   51 | Cost: 1.335812 | Acc: 63.33% (Best: 63.61% @ Ep50) | LR: 0.000010 | Rev: 1/99999
Epoch   52 | Cost: 1.308113 | Acc: 63.61% (Best: 63.61% @ Ep50) | LR: 0.000010 | Rev: 0/99999
Epoch   53 | Cost: 1.319162 | Acc: 63.61% (Best: 63.61% @ Ep50) | LR: 0.000010 | Rev: 1/99999
Epoch   54 | Cost: 1.296936 | Acc: 63.33% (Best: 63.61% @ Ep50) | LR: 0.000010 | Rev: 0/99999
Epoch   55 | Cost: 1.305300 | Acc: 64.17% (Best: 64.17% @ Ep55) | LR: 0.000010 | Rev: 1/99999
Epoch   56 | Cost: 1.302621 | Acc: 64.44% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   57 | Cost: 1.280868 | Acc: 63.61% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   58 | Cost: 1.280704 | Acc: 64.17% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   59 | Cost: 1.294807 | Acc: 63.33% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 1/99999
Epoch   60 | Cost: 1.282700 | Acc: 63.33% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   61 | Cost: 1.255442 | Acc: 63.61% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   62 | Cost: 1.273325 | Acc: 64.17% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 1/99999
Epoch   63 | Cost: 1.250753 | Acc: 64.44% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   64 | Cost: 1.244244 | Acc: 63.61% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   65 | Cost: 1.233696 | Acc: 64.17% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   66 | Cost: 1.244019 | Acc: 63.89% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 1/99999
Epoch   67 | Cost: 1.229149 | Acc: 63.61% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   68 | Cost: 1.241054 | Acc: 63.33% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 1/99999
Epoch   69 | Cost: 1.228200 | Acc: 63.33% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   70 | Cost: 1.223499 | Acc: 63.61% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   71 | Cost: 1.224364 | Acc: 63.33% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 1/99999
Epoch   72 | Cost: 1.215600 | Acc: 64.17% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   73 | Cost: 1.207250 | Acc: 63.89% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   74 | Cost: 1.190289 | Acc: 63.61% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   75 | Cost: 1.206770 | Acc: 63.61% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 1/99999
Epoch   76 | Cost: 1.191517 | Acc: 64.17% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   77 | Cost: 1.182957 | Acc: 63.89% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   78 | Cost: 1.177808 | Acc: 63.61% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   79 | Cost: 1.183654 | Acc: 63.61% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 1/99999
Epoch   80 | Cost: 1.175110 | Acc: 63.61% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   81 | Cost: 1.170343 | Acc: 64.17% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   82 | Cost: 1.154355 | Acc: 63.33% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   83 | Cost: 1.176135 | Acc: 63.89% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 1/99999
Epoch   84 | Cost: 1.165208 | Acc: 64.17% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   85 | Cost: 1.160465 | Acc: 64.17% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   86 | Cost: 1.156094 | Acc: 64.44% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   87 | Cost: 1.149846 | Acc: 63.89% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   88 | Cost: 1.141137 | Acc: 63.89% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   89 | Cost: 1.146930 | Acc: 63.89% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 1/99999
Epoch   90 | Cost: 1.136559 | Acc: 63.89% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   91 | Cost: 1.127317 | Acc: 63.89% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   92 | Cost: 1.125394 | Acc: 64.17% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 0/99999
Epoch   93 | Cost: 1.130840 | Acc: 63.89% (Best: 64.44% @ Ep56) | LR: 0.000010 | Rev: 1/99999
Epoch   94 | Cost: 1.123385 | Acc: 64.72% (Best: 64.72% @ Ep94) | LR: 0.000010 | Rev: 0/99999
Epoch   95 | Cost: 1.130312 | Acc: 65.28% (Best: 65.28% @ Ep95) | LR: 0.000010 | Rev: 1/99999
Epoch   96 | Cost: 1.125838 | Acc: 65.00% (Best: 65.28% @ Ep95) | LR: 0.000010 | Rev: 0/99999
Epoch   97 | Cost: 1.133874 | Acc: 64.44% (Best: 65.28% @ Ep95) | LR: 0.000010 | Rev: 1/99999
Epoch   98 | Cost: 1.114841 | Acc: 65.00% (Best: 65.28% @ Ep95) | LR: 0.000010 | Rev: 0/99999
Epoch   99 | Cost: 1.110884 | Acc: 65.00% (Best: 65.28% @ Ep95) | LR: 0.000010 | Rev: 0/99999
Epoch  100 | Cost: 1.112913 | Acc: 65.83% (Best: 65.83% @ Ep100) | LR: 0.000010 | Rev: 1/99999

======================================================
[FINISH] Best Acc: 65.83% (Epoch 100)
======================================================
