======================================================
 量子ハンター (完全PyTorch統合版) Step: 0.01
 Device: cuda
======================================================

Epoch   1 | Cost: 2.292152 | Acc: 19.67% (Best: 19.67% @ Ep1) | Rev: 0/10
Epoch  47 | Cost: 1.428034 | Acc: 37.00% (Best: 37.00% @ Ep47) | Rev: 0/10
Epoch  48 | Cost: 1.424063 | Acc: 37.00% (Best: 37.00% @ Ep47) | Rev: 0/10
Epoch  49 | Cost: 1.422300 | Acc: 38.00% (Best: 38.00% @ Ep49) | Rev: 0/10
Epoch  50 | Cost: 1.418467 | Acc: 37.67% (Best: 38.00% @ Ep49) | Rev: 0/10
Epoch  51 | Cost: 1.416285 | Acc: 37.33% (Best: 38.00% @ Ep49) | Rev: 0/10
Epoch  52 | Cost: 1.411975 | Acc: 38.00% (Best: 38.00% @ Ep49) | Rev: 0/10
Epoch  53 | Cost: 1.409649 | Acc: 37.67% (Best: 38.00% @ Ep49) | Rev: 0/10
Epoch  54 | Cost: 1.406720 | Acc: 37.67% (Best: 38.00% @ Ep49) | Rev: 0/10
Epoch  55 | Cost: 1.403709 | Acc: 38.33% (Best: 38.33% @ Ep55) | Rev: 0/10
Epoch  56 | Cost: 1.403024 | Acc: 38.67% (Best: 38.67% @ Ep56) | Rev: 0/10
Epoch  57 | Cost: 1.400519 | Acc: 38.33% (Best: 38.67% @ Ep56) | Rev: 0/10
Epoch  58 | Cost: 1.398323 | Acc: 38.67% (Best: 38.67% @ Ep56) | Rev: 0/10
Epoch  59 | Cost: 1.398773 | Acc: 39.00% (Best: 39.00% @ Ep59) | Rev: 1/10
Epoch  60 | Cost: 1.397476 | Acc: 39.00% (Best: 39.00% @ Ep59) | Rev: 0/10
Epoch  61 | Cost: 1.394272 | Acc: 38.67% (Best: 39.00% @ Ep59) | Rev: 0/10
Epoch  62 | Cost: 1.391926 | Acc: 39.00% (Best: 39.00% @ Ep59) | Rev: 0/10
Epoch  63 | Cost: 1.388902 | Acc: 38.67% (Best: 39.00% @ Ep59) | Rev: 0/10
Epoch  64 | Cost: 1.386718 | Acc: 38.67% (Best: 39.00% @ Ep59) | Rev: 0/10
Epoch  65 | Cost: 1.385170 | Acc: 38.33% (Best: 39.00% @ Ep59) | Rev: 0/10
Epoch  66 | Cost: 1.376906 | Acc: 39.33% (Best: 39.33% @ Ep66) | Rev: 0/10
Epoch  67 | Cost: 1.376451 | Acc: 39.67% (Best: 39.67% @ Ep67) | Rev: 0/10
Epoch  68 | Cost: 1.372685 | Acc: 39.00% (Best: 39.67% @ Ep67) | Rev: 0/10
Epoch  69 | Cost: 1.368574 | Acc: 40.00% (Best: 40.00% @ Ep69) | Rev: 0/10
Epoch  70 | Cost: 1.361566 | Acc: 41.00% (Best: 41.00% @ Ep70) | Rev: 0/10
Epoch  71 | Cost: 1.356720 | Acc: 42.00% (Best: 42.00% @ Ep71) | Rev: 0/10
Epoch  72 | Cost: 1.353787 | Acc: 42.33% (Best: 42.33% @ Ep72) | Rev: 0/10
Epoch  73 | Cost: 1.340545 | Acc: 43.33% (Best: 43.33% @ Ep73) | Rev: 0/10
Epoch  74 | Cost: 1.335805 | Acc: 43.33% (Best: 43.33% @ Ep73) | Rev: 0/10
Epoch  75 | Cost: 1.329022 | Acc: 43.33% (Best: 43.33% @ Ep73) | Rev: 0/10
Epoch  76 | Cost: 1.315899 | Acc: 43.00% (Best: 43.33% @ Ep73) | Rev: 0/10
Epoch  77 | Cost: 1.310871 | Acc: 43.33% (Best: 43.33% @ Ep73) | Rev: 0/10
Epoch  78 | Cost: 1.301159 | Acc: 44.00% (Best: 44.00% @ Ep78) | Rev: 0/10
Epoch  79 | Cost: 1.292328 | Acc: 44.00% (Best: 44.00% @ Ep78) | Rev: 0/10
Epoch  80 | Cost: 1.286759 | Acc: 44.00% (Best: 44.00% @ Ep78) | Rev: 0/10
Epoch  81 | Cost: 1.280152 | Acc: 43.33% (Best: 44.00% @ Ep78) | Rev: 0/10
Epoch  82 | Cost: 1.273292 | Acc: 44.33% (Best: 44.33% @ Ep82) | Rev: 0/10
Epoch  83 | Cost: 1.262120 | Acc: 45.67% (Best: 45.67% @ Ep83) | Rev: 0/10
Epoch  84 | Cost: 1.255000 | Acc: 46.00% (Best: 46.00% @ Ep84) | Rev: 0/10
Epoch  85 | Cost: 1.246382 | Acc: 46.00% (Best: 46.00% @ Ep84) | Rev: 0/10
Epoch  86 | Cost: 1.239628 | Acc: 45.67% (Best: 46.00% @ Ep84) | Rev: 0/10
Epoch  87 | Cost: 1.229021 | Acc: 46.33% (Best: 46.33% @ Ep87) | Rev: 0/10
Epoch  88 | Cost: 1.220980 | Acc: 47.00% (Best: 47.00% @ Ep88) | Rev: 0/10
Epoch  89 | Cost: 1.213395 | Acc: 47.33% (Best: 47.33% @ Ep89) | Rev: 0/10
Epoch  90 | Cost: 1.200794 | Acc: 47.67% (Best: 47.67% @ Ep90) | Rev: 0/10
Epoch  91 | Cost: 1.194704 | Acc: 47.00% (Best: 47.67% @ Ep90) | Rev: 0/10
Epoch  92 | Cost: 1.189385 | Acc: 47.67% (Best: 47.67% @ Ep90) | Rev: 0/10
Epoch  93 | Cost: 1.177563 | Acc: 48.33% (Best: 48.33% @ Ep93) | Rev: 0/10
Epoch  94 | Cost: 1.171460 | Acc: 47.67% (Best: 48.33% @ Ep93) | Rev: 0/10
Epoch  95 | Cost: 1.164279 | Acc: 47.33% (Best: 48.33% @ Ep93) | Rev: 0/10
Epoch  96 | Cost: 1.155644 | Acc: 47.67% (Best: 48.33% @ Ep93) | Rev: 0/10
Epoch  97 | Cost: 1.151406 | Acc: 46.67% (Best: 48.33% @ Ep93) | Rev: 0/10
Epoch  98 | Cost: 1.144211 | Acc: 47.33% (Best: 48.33% @ Ep93) | Rev: 0/10
Epoch  99 | Cost: 1.139046 | Acc: 47.00% (Best: 48.33% @ Ep93) | Rev: 0/10
Epoch 100 | Cost: 1.134032 | Acc: 47.33% (Best: 48.33% @ Ep93) | Rev: 0/10
Epoch 101 | Cost: 1.126586 | Acc: 47.67% (Best: 48.33% @ Ep93) | Rev: 0/10
Epoch 102 | Cost: 1.120566 | Acc: 48.00% (Best: 48.33% @ Ep93) | Rev: 0/10
Epoch 103 | Cost: 1.118205 | Acc: 48.00% (Best: 48.33% @ Ep93) | Rev: 0/10
Epoch 104 | Cost: 1.115629 | Acc: 48.00% (Best: 48.33% @ Ep93) | Rev: 0/10
Epoch 105 | Cost: 1.111473 | Acc: 48.33% (Best: 48.33% @ Ep93) | Rev: 0/10
Epoch 106 | Cost: 1.104529 | Acc: 48.00% (Best: 48.33% @ Ep93) | Rev: 0/10
Epoch 107 | Cost: 1.099522 | Acc: 48.00% (Best: 48.33% @ Ep93) | Rev: 0/10
Epoch 108 | Cost: 1.097231 | Acc: 48.67% (Best: 48.67% @ Ep108) | Rev: 0/10
Epoch 109 | Cost: 1.094841 | Acc: 49.00% (Best: 49.00% @ Ep109) | Rev: 0/10
Epoch 110 | Cost: 1.090919 | Acc: 49.33% (Best: 49.33% @ Ep110) | Rev: 0/10
Epoch 111 | Cost: 1.087604 | Acc: 50.00% (Best: 50.00% @ Ep111) | Rev: 0/10
Epoch 112 | Cost: 1.085008 | Acc: 50.00% (Best: 50.00% @ Ep111) | Rev: 0/10
Epoch 113 | Cost: 1.082097 | Acc: 50.00% (Best: 50.00% @ Ep111) | Rev: 0/10
Epoch 114 | Cost: 1.080389 | Acc: 50.33% (Best: 50.33% @ Ep114) | Rev: 0/10
Epoch 115 | Cost: 1.078504 | Acc: 50.00% (Best: 50.33% @ Ep114) | Rev: 0/10
Epoch 116 | Cost: 1.078355 | Acc: 50.33% (Best: 50.33% @ Ep114) | Rev: 0/10
Epoch 117 | Cost: 1.076821 | Acc: 49.67% (Best: 50.33% @ Ep114) | Rev: 0/10
Epoch 118 | Cost: 1.073394 | Acc: 49.67% (Best: 50.33% @ Ep114) | Rev: 0/10
Epoch 119 | Cost: 1.071122 | Acc: 50.00% (Best: 50.33% @ Ep114) | Rev: 0/10
Epoch 120 | Cost: 1.070201 | Acc: 49.67% (Best: 50.33% @ Ep114) | Rev: 0/10
Epoch 121 | Cost: 1.067196 | Acc: 50.67% (Best: 50.67% @ Ep121) | Rev: 0/10
Epoch 122 | Cost: 1.066104 | Acc: 51.33% (Best: 51.33% @ Ep122) | Rev: 0/10
Epoch 123 | Cost: 1.063755 | Acc: 51.33% (Best: 51.33% @ Ep122) | Rev: 0/10
Epoch 124 | Cost: 1.062940 | Acc: 51.67% (Best: 51.67% @ Ep124) | Rev: 0/10
Epoch 125 | Cost: 1.062909 | Acc: 52.33% (Best: 52.33% @ Ep125) | Rev: 0/10
Epoch 126 | Cost: 1.059918 | Acc: 51.67% (Best: 52.33% @ Ep125) | Rev: 0/10
Epoch 127 | Cost: 1.059379 | Acc: 51.00% (Best: 52.33% @ Ep125) | Rev: 0/10
Epoch 128 | Cost: 1.056319 | Acc: 51.33% (Best: 52.33% @ Ep125) | Rev: 0/10
Epoch 129 | Cost: 1.055971 | Acc: 51.33% (Best: 52.33% @ Ep125) | Rev: 0/10
Epoch 130 | Cost: 1.052852 | Acc: 51.67% (Best: 52.33% @ Ep125) | Rev: 0/10
Epoch 131 | Cost: 1.050253 | Acc: 51.33% (Best: 52.33% @ Ep125) | Rev: 0/10
Epoch 132 | Cost: 1.049922 | Acc: 50.67% (Best: 52.33% @ Ep125) | Rev: 0/10
Epoch 133 | Cost: 1.047835 | Acc: 51.00% (Best: 52.33% @ Ep125) | Rev: 0/10
Epoch 134 | Cost: 1.047424 | Acc: 51.00% (Best: 52.33% @ Ep125) | Rev: 0/10
Epoch 135 | Cost: 1.047520 | Acc: 50.67% (Best: 52.33% @ Ep125) | Rev: 1/10
Epoch 136 | Cost: 1.047668 | Acc: 50.33% (Best: 52.33% @ Ep125) | Rev: 2/10
Epoch 137 | Cost: 1.048333 | Acc: 51.00% (Best: 52.33% @ Ep125) | Rev: 3/10
Epoch 138 | Cost: 1.044341 | Acc: 51.67% (Best: 52.33% @ Ep125) | Rev: 0/10
Epoch 139 | Cost: 1.039993 | Acc: 51.67% (Best: 52.33% @ Ep125) | Rev: 0/10
Epoch 140 | Cost: 1.039076 | Acc: 51.67% (Best: 52.33% @ Ep125) | Rev: 0/10
Epoch 141 | Cost: 1.037451 | Acc: 52.00% (Best: 52.33% @ Ep125) | Rev: 0/10
Epoch 142 | Cost: 1.037216 | Acc: 52.00% (Best: 52.33% @ Ep125) | Rev: 0/10
Epoch 143 | Cost: 1.038344 | Acc: 52.00% (Best: 52.33% @ Ep125) | Rev: 1/10
Epoch 144 | Cost: 1.039294 | Acc: 52.00% (Best: 52.33% @ Ep125) | Rev: 2/10
Epoch 145 | Cost: 1.039360 | Acc: 51.67% (Best: 52.33% @ Ep125) | Rev: 3/10
Epoch 146 | Cost: 1.040717 | Acc: 52.00% (Best: 52.33% @ Ep125) | Rev: 4/10
Epoch 147 | Cost: 1.036835 | Acc: 51.33% (Best: 52.33% @ Ep125) | Rev: 0/10
Epoch 148 | Cost: 1.035517 | Acc: 52.33% (Best: 52.33% @ Ep125) | Rev: 0/10
Epoch 149 | Cost: 1.038434 | Acc: 52.00% (Best: 52.33% @ Ep125) | Rev: 1/10
Epoch 150 | Cost: 1.038191 | Acc: 51.67% (Best: 52.33% @ Ep125) | Rev: 0/10
Epoch 151 | Cost: 1.033671 | Acc: 51.67% (Best: 52.33% @ Ep125) | Rev: 0/10
Epoch 152 | Cost: 1.029854 | Acc: 51.67% (Best: 52.33% @ Ep125) | Rev: 0/10
Epoch 153 | Cost: 1.027969 | Acc: 52.00% (Best: 52.33% @ Ep125) | Rev: 0/10
Epoch 154 | Cost: 1.029341 | Acc: 52.00% (Best: 52.33% @ Ep125) | Rev: 1/10
Epoch 155 | Cost: 1.027906 | Acc: 51.67% (Best: 52.33% @ Ep125) | Rev: 0/10
Epoch 156 | Cost: 1.028327 | Acc: 52.33% (Best: 52.33% @ Ep125) | Rev: 1/10
Epoch 157 | Cost: 1.028886 | Acc: 52.00% (Best: 52.33% @ Ep125) | Rev: 2/10
Epoch 158 | Cost: 1.027077 | Acc: 52.67% (Best: 52.67% @ Ep158) | Rev: 0/10
Epoch 159 | Cost: 1.027557 | Acc: 52.33% (Best: 52.67% @ Ep158) | Rev: 1/10
Epoch 160 | Cost: 1.024538 | Acc: 52.33% (Best: 52.67% @ Ep158) | Rev: 0/10
Epoch 161 | Cost: 1.023050 | Acc: 52.00% (Best: 52.67% @ Ep158) | Rev: 0/10
Epoch 162 | Cost: 1.021541 | Acc: 51.67% (Best: 52.67% @ Ep158) | Rev: 0/10
Epoch 163 | Cost: 1.020013 | Acc: 52.33% (Best: 52.67% @ Ep158) | Rev: 0/10
Epoch 164 | Cost: 1.019929 | Acc: 52.00% (Best: 52.67% @ Ep158) | Rev: 0/10
Epoch 165 | Cost: 1.017447 | Acc: 53.00% (Best: 53.00% @ Ep165) | Rev: 0/10
Epoch 166 | Cost: 1.016400 | Acc: 52.00% (Best: 53.00% @ Ep165) | Rev: 0/10
Epoch 167 | Cost: 1.014487 | Acc: 52.33% (Best: 53.00% @ Ep165) | Rev: 0/10
Epoch 168 | Cost: 1.013194 | Acc: 51.67% (Best: 53.00% @ Ep165) | Rev: 0/10
Epoch 169 | Cost: 1.012436 | Acc: 52.67% (Best: 53.00% @ Ep165) | Rev: 0/10
